name,SMILES,herb,PC1,PC2,PC3,PC4,PC5
methyldymron,CC(C)(C1=CC=CC=C1)NC(=O)N(C)C2=CC=CC=C2,1,-2.395400206983188,-0.8247308634734125,-1.4597786273647158,-0.3915067152234018,0.22715647770390587
monalide,CCCC(C)(C)C(=O)NC1=CC=C(C=C1)Cl,1,-1.2374864974437116,-1.0136853740363432,-0.6432238205196217,2.1724220521042032,-0.08521148630366648
naproanilide,CC(C(=O)NC1=CC=CC=C1)OC2=CC3=CC=CC=C3C=C2,1,-1.5533953041436588,0.5142251788501693,-1.5132571518815716,-0.900053111944975,-0.4928038643534455
napropamide,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,1,-1.599758507797244,-0.8329993666599202,-1.3320153054369623,0.8907340839237295,-0.2469055536270667
oxaziclomefone,CC1=C(C(=O)N(CO1)C(C)(C)C2=CC(=CC(=C2)Cl)Cl)C3=CC=CC=C3,1,-1.7130079450476998,1.751197011780812,-0.718140335333559,0.2815082958807769,-0.3687045306745048
pelargonic acid,CCCCCCCCC(=O)O,1,-1.974419383476985,-1.010875517129147,-1.3093176939229951,0.8650115325103055,-0.12874574310616171
perfluidone,CC1=C(C=CC(=C1)S(=O)(=O)C2=CC=CC=C2)NS(=O)(=O)C(F)(F)F,1,-1.7854474467094614,-1.0201631122112442,-0.8473800042913662,-0.1564904293389104,0.527266388983295
pyributicarb,CC(C)(C)C1=CC(=CC=C1)OC(=S)N(C)C2=NC(=CC=C2)OC,1,-1.9707139731115966,-1.1713659417046047,-1.944539089789397,-0.6964129921556579,0.3812431026844513
quinoclamine,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N,1,-1.954624189771595,-0.5668908178644403,-0.5168219474383662,-0.11850954224578242,1.52867497212766
tebutam,CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,1,-1.5824142118318623,0.6121388052100155,-0.850737776022302,-0.8034103074101439,0.5504574652999286
2_3_6-TBA,C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl,1,-2.122085669530042,-0.20524308911567732,-1.618094357323887,0.6836806765002362,0.3290956947371144
2_4_5-TB,C1=C(C(=CC(=C1Cl)Cl)Cl)OCCCC(=O)O,1,-2.2796352959809365,-0.800260198653706,-1.8299683357814336,0.048322217144685035,0.0812579217526583
2_4-DEB,C1=CC=C(C=C1)C(=O)OCCOC2=C(C=C(C=C2)Cl)Cl,1,-2.468787468185524,-0.31917014184357717,-1.665227256771141,-0.6002266895526517,-0.24053217123640142
3_4-DA,C1=CC(=C(C=C1CC=O)O)O,1,-2.0737008122424774,-0.8965829629968544,-0.10725856263594578,-0.37767323402628095,-0.46792886587324567
3_4-DB,C1=CC(=C(C=C1OCCCC(=O)O)Cl)Cl,1,-2.3133058622583147,-1.0220266779453395,-1.0453995700864847,0.23948657774353646,-0.15163948503414207
3_4-DP,CC1=C(C=C(C=C1)O)C,1,-1.420097232116147,-0.8491901806705388,-0.2549138046970068,1.2566379412211242,-0.2567557502616283
4-CPA,C1=CC(=CC=C1OCC(=O)O)Cl,1,-1.7845549314932347,-0.9774559815476495,-1.2125941546768988,-0.0876481008019059,-0.07060093850685108
4-CPB,C1=CC(=CC=C1OCCCC(=O)O)Cl,1,-1.8865116409664364,-1.0502919050350235,-1.0241958943531748,0.3490701984166354,-0.3620887617257779
4-CPP,CC(C(=O)O)OC1=CC=C(C=C1)Cl,1,-1.5850706383039295,-0.5083078209520365,-1.6704234096900328,-0.41862079090285237,-0.6128281548890805
ametridione,CCSC1=NC(=O)N(C(=O)N1N)CC(C)(C)C,1,-1.0365807203591468,-0.7252727037261497,-0.4186900099218077,2.202286268657028,0.07836229601290205
amibuzin,CC(C)(C)C1=NN=C(N(C1=O)C)N(C)C,1,-1.1176171326506585,-0.9268844421211986,-1.1312440820742429,0.8601640571942186,0.6377528122762096
amiprofos-methyl,CC1=CC(=C(C=C1)OP(=S)(NC(C)C)OC)[N+](=O)[O-],1,-1.7569538866968644,1.725594748214028,-2.899037161324793,0.7194403883033159,0.17284613018314934
amiprophos,CCOP(=S)(NC(C)C)OC1=C(C=C(C=C1)C)[N+](=O)[O-],1,-1.8924583961262391,1.5477396156396057,-3.174619236076528,0.9704926642408818,0.13145211024299128
anisuron,CN(C)C(=O)N(C1=CC(=C(C=C1)Cl)Cl)C(=O)C2=CC=C(C=C2)OC,1,-2.1942026633051612,-1.0376831343124442,-1.1237539283671107,-0.6601000536158684,2.1285781243077744
BCPC,CCC(C)OC(=O)NC1=CC(=CC=C1)Cl,1,-0.8462070401957864,1.4099439548817738,-1.9312471685061654,-0.4813175995692078,-0.2929118045202494
bencarbazone,CCS(=O)(=O)NC1=CC(=C(C=C1C(=S)N)F)N2C(=O)N(C(=N2)C(F)(F)F)C,1,-0.947294626909621,1.4991503890946976,0.8782662615728136,0.5157870550212161,3.19800735601803
benzfendizone,CCC1=CC(=C(C=C1)COC2=CC=C(C=C2)N3C(=O)C=C(N(C3=O)C)C(F)(F)F)OC(C)C(=O)OC,1,-0.03679674079350136,-0.21914735217844852,1.1842411621423399,-0.8698097796115237,-0.39585538085338334
bispyribac,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)O)OC,1,-2.317314410850075,-0.7455943195803623,-1.8228773307383406,0.4094015713816397,0.87984354221468
bromobonil,C1CC(OC1)COC(=O)OC2=C(C=C(C=C2Br)C#N)Br,1,-0.3955081052470041,2.3310589289574075,2.658085669713865,-1.5290478060082686,-1.0548205534950479
